"filename", "language", "Python", "C++", "YAML", "toml", "Ini", "pip requirements", "Shell Script", "Markdown", "Properties", "reStructuredText", "XML", "CSS", "JSON", "comment", "blank", "total"
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_const_name.cpp", "C++", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 56
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_const_name.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_constants_and_functions.cpp", "C++", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 20, 155
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_constants_and_functions.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 57
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_copy_move.cpp", "C++", 0, 423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 38, 534
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_copy_move.py", "Python", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 133
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_custom_type_casters.cpp", "C++", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 21, 210
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_custom_type_casters.py", "Python", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 123
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_custom_type_setup.cpp", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 42
"e:\LocalSoftware\share\pybind11-2.11.1\tests\test_custom_type_setup.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 49
